test
Level	XP from previous level
1    	0
2    	25
3    	35
4    	50
5    	75
6    	100
7    	125
8    	150
9    	200
10   	250
11   	390
12   	710
13   	1,105
14   	1,570
15   	2,115
16   	2,735
17   	3,430
18   	4,210
19   	5,070
20   	6,010
21   	7,035
22   	8,145
23   	9,345
24   	10,625
25   	12,000
26   	13,465
27   	15,015
28   	16,660
29   	18,400
30   	20,230
31   	22,155
32   	24,175
33   	26,295
34   	28,510
35   	30,825
36   	33,235
37   	35,745
38   	38,360
39   	41,075
40   	43,890
41   	46,805
42   	49,830
43   	52,955
44   	56,185
45   	59,525
46   	62,965
47   	66,515
48   	70,170
49   	73,935
50   	77,810
51   	81,795
52   	173,690
53   	277,495
54   	394,755
55   	527,025
56   	675,935
57   	843,220
58   	1,030,745
59   	1,240,520
60   	1,474,705
61   	1,735,645
62   	2,025,865
63   	2,348,105
64   	2,705,320
65   	3,100,715
66   	3,537,740
67   	4,020,140
68   	4,551,945
69   	5,137,520
70   	5,781,580
71   	6,489,205
72   	7,265,885
73   	8,117,550
74   	9,050,580
75   	10,071,880
76   	11,188,870
77   	12,409,560
78   	13,742,590
79   	15,197,260
80   	16,783,575
81   	18,512,340
82   	20,395,155
83   	22,444,535
84   	24,673,930
85   	27,097,815
86   	29,731,770
87   	32,592,540
88   	35,698,140
89   	39,067,940
90   	42,722,755
91   	46,684,955
92   	50,978,580
93   	55,629,470
94   	60,665,360
95   	66,116,055
96   	72,013,560
97   	78,392,225
98   	85,288,940
99   	92,743,300
100  	100,797,790
101  	109,498,010
102  	118,892,880
103  	129,034,885
104  	139,980,315
105  	151,789,550
106  	164,527,330
107  	178,263,085
108  	193,071,240
109  	209,031,585
110  	226,229,645
111  	244,757,070
112  	264,712,090
113  	286,199,955
114  	309,333,430
115  	334,233,310
116  	361,029,015
117  	389,859,135
118  	420,872,115
119  	454,226,915
120  	490,093,760
121  	529,301,260
122  	571,645,360
123  	617,376,990
124  	666,767,150
125  	720,108,520
126  	777,717,200
127  	839,934,580
128  	907,129,345
129  	979,699,700
130  	1,050,000,000

